Model,SimCSE,m,AUROC,Accuracy,TotalPairs,CorrectPairs
CodeT5-BASE,No,2,0.3230,0.2891,5068,1465
CodeT5-BASE,No,4,0.3576,0.3181,5068,1612
CodeT5-BASE,No,8,0.4056,0.3871,5068,1962
CodeT5-SimCSE,Yes,2,0.4591,0.4631,5068,2347
CodeT5-SimCSE,Yes,4,0.5138,0.5312,5068,2692
CodeT5-SimCSE,Yes,8,0.5941,0.6020,5068,3051
GraphCodeBERT-BASE,No,2,0.5065,0.5187,5068,2629
GraphCodeBERT-BASE,No,4,0.5414,0.5478,5068,2776
GraphCodeBERT-BASE,No,8,0.5610,0.5655,5068,2866
GraphCodeBERT-SimCSE,Yes,2,0.4843,0.5014,5068,2541
GraphCodeBERT-SimCSE,Yes,4,0.5575,0.5714,5068,2896
GraphCodeBERT-SimCSE,Yes,8,0.6352,0.6531,5068,3310
