Model,SimCSE,m,AUROC,Accuracy,TotalPairs,CorrectPairs
CodeT5-BASE,No,2,0.3227,0.2833,5068,1436
CodeT5-BASE,No,4,0.3557,0.3197,5068,1620
CodeT5-BASE,No,8,0.4094,0.3938,5068,1996
CodeT5-SimCSE,Yes,2,0.4795,0.4732,5068,2398
CodeT5-SimCSE,Yes,4,0.5442,0.5501,5068,2788
CodeT5-SimCSE,Yes,8,0.6233,0.6285,5068,3185
GraphCodeBERT-BASE,No,2,0.5125,0.5195,5068,2633
GraphCodeBERT-BASE,No,4,0.5354,0.5440,5068,2757
GraphCodeBERT-BASE,No,8,0.5645,0.5691,5068,2884
GraphCodeBERT-SimCSE,Yes,2,0.4996,0.0501,5068,254
GraphCodeBERT-SimCSE,Yes,4,0.5023,0.0189,5068,96
GraphCodeBERT-SimCSE,Yes,8,0.4997,0.0055,5068,28
