Model,SimCSE,m,AUROC,Accuracy,TotalPairs,CorrectPairs
CodeT5-BASE,No,2,0.3163,0.2713,5068,1375
CodeT5-BASE,No,4,0.3537,0.3139,5068,1591
CodeT5-BASE,No,8,0.4071,0.3899,5068,1976
CodeT5-SimCSE,Yes,2,0.4950,0.4947,5068,2507
CodeT5-SimCSE,Yes,4,0.5534,0.5657,5068,2867
CodeT5-SimCSE,Yes,8,0.6220,0.6328,5068,3207
GraphCodeBERT-BASE,No,2,0.5089,0.5166,5068,2618
GraphCodeBERT-BASE,No,4,0.5367,0.5393,5068,2733
GraphCodeBERT-BASE,No,8,0.5657,0.5728,5068,2903
GraphCodeBERT-SimCSE,Yes,2,0.4726,0.1908,5068,967
GraphCodeBERT-SimCSE,Yes,4,0.4878,0.1342,5068,680
GraphCodeBERT-SimCSE,Yes,8,0.4832,0.0878,5068,445
