Model,m,Variant,AUROC,Accuracy,Pairwise_Accuracy,Precision,Recall,F1_Score,Pairs,CorrectPairs,Auroc Percentage ,Pairwise Pectengage
./models/graphcodebert-simcse,2,variant_1_full_processed.csv,0.495878955,0.51124704,0.51124704,0.51124704,0.51124704,0.51124704,5068,2591,50%,51%
./models/graphcodebert-simcse,2,variant_4_full_processed.csv,0.505517542,0.512430939,0.512430939,0.512430939,0.512430939,0.512430939,5068,2597,51%,51%
./models/graphcodebert-simcse,2,variant_5_full_processed.csv,0.441647618,0.437647987,0.437647987,0.437647987,0.437647987,0.437647987,5068,2218,44%,44%
./models/graphcodebert-simcse,2,variant_6_full_processed.csv,0.482635954,0.479281768,0.479281768,0.479281768,0.479281768,0.479281768,5068,2429,48%,48%
./models/graphcodebert-simcse,2,variant_7_full_processed.csv,0.559839965,0.550710339,0.550710339,0.550710339,0.550710339,0.550710339,5068,2791,56%,55%
./models/graphcodebert-simcse,2,variant_8_full_processed.csv,0.577465826,0.574304322,0.574304322,0.574304322,0.574304322,0.574304322,5067,2910,58%,57%
./models/graphcodebert-simcse,2,variant_9_full_processed.csv,0.645013461,0.647523189,0.647523189,0.647523189,0.647523189,0.647523189,5067,3281,65%,65%
./models/graphcodebert-simcse,2,variant_10_full_processed.csv,0.554739064,0.542530097,0.542530097,0.542530097,0.542530097,0.542530097,5067,2749,55%,54%
./models/graphcodebert-simcse,2,variant_11_full_processed.csv,0.506554894,0.505919495,0.505919495,0.505919495,0.505919495,0.505919495,5068,2564,51%,51%
./models/graphcodebert-simcse,2,variant_12_full_processed.csv,0.508481553,0.512233623,0.512233623,0.512233623,0.512233623,0.512233623,5068,2596,51%,51%
./models/graphcodebert-simcse,2,variant_13_full_processed.csv,0.432090352,0.43556345,0.43556345,0.43556345,0.43556345,0.43556345,5067,2207,43%,44%
./models/graphcodebert-simcse,4,variant_1_full_processed.csv,0.5645179,0.575769534,0.575769534,0.575769534,0.575769534,0.575769534,5068,2918,56%,58%
./models/graphcodebert-simcse,4,variant_4_full_processed.csv,0.562923678,0.570244672,0.570244672,0.570244672,0.570244672,0.570244672,5068,2890,56%,57%
./models/graphcodebert-simcse,4,variant_5_full_processed.csv,0.463818197,0.467442778,0.467442778,0.467442778,0.467442778,0.467442778,5068,2369,46%,47%
./models/graphcodebert-simcse,4,variant_6_full_processed.csv,0.50334782,0.499408051,0.499408051,0.499408051,0.499408051,0.499408051,5068,2531,50%,50%
./models/graphcodebert-simcse,4,variant_7_full_processed.csv,0.595728343,0.59964483,0.59964483,0.59964483,0.59964483,0.59964483,5068,3039,60%,60%
./models/graphcodebert-simcse,4,variant_8_full_processed.csv,0.580443198,0.583185317,0.583185317,0.583185317,0.583185317,0.583185317,5067,2955,58%,58%
./models/graphcodebert-simcse,4,variant_9_full_processed.csv,0.649329807,0.656404184,0.656404184,0.656404184,0.656404184,0.656404184,5067,3326,65%,66%
./models/graphcodebert-simcse,4,variant_10_full_processed.csv,0.534950257,0.524965463,0.524965463,0.524965463,0.524965463,0.524965463,5067,2660,53%,52%
