Model,m,Variant,AUROC,Accuracy,Pairwise_Accuracy,Precision,Recall,F1_Score,Pairs,CorrectPairs
microsoft/graphcodebert-base,2,variant_1_full_processed.csv,0.5013437611545335,0.5063141278610892,0.5063141278610892,0.5063141278610892,0.5063141278610892,0.5063141278610892,5068,2566
microsoft/graphcodebert-base,2,variant_4_full_processed.csv,0.5042708820654722,0.5171665351223362,0.5171665351223362,0.5171665351223362,0.5171665351223362,0.5171665351223362,5068,2621
microsoft/graphcodebert-base,2,variant_5_full_processed.csv,0.4666395934003161,0.4660615627466456,0.4660615627466456,0.4660615627466456,0.4660615627466456,0.4660615627466456,5068,2362
microsoft/graphcodebert-base,2,variant_6_full_processed.csv,0.5121891019311788,0.515982636148382,0.515982636148382,0.515982636148382,0.515982636148382,0.515982636148382,5068,2615
microsoft/graphcodebert-base,2,variant_7_full_processed.csv,0.5497355733142132,0.5536700868192581,0.5536700868192581,0.5536700868192581,0.5536700868192581,0.5536700868192581,5068,2806
microsoft/graphcodebert-base,2,variant_8_full_processed.csv,0.5710663608533747,0.5719360568383659,0.5719360568383659,0.5719360568383659,0.5719360568383659,0.5719360568383659,5067,2898
microsoft/graphcodebert-base,2,variant_9_full_processed.csv,0.6541169329601848,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,5067,3378
microsoft/graphcodebert-base,2,variant_10_full_processed.csv,0.5364392451978304,0.5377935662127492,0.5377935662127492,0.5377935662127492,0.5377935662127492,0.5377935662127492,5067,2725
microsoft/graphcodebert-base,2,variant_11_full_processed.csv,0.49700984526773684,0.5059194948697711,0.5059194948697711,0.5059194948697711,0.5059194948697711,0.5059194948697711,5068,2564
microsoft/graphcodebert-base,2,variant_12_full_processed.csv,0.5035895016411376,0.5090765588003157,0.5090765588003157,0.5090765588003157,0.5090765588003157,0.5090765588003157,5068,2580
microsoft/graphcodebert-base,2,variant_13_full_processed.csv,0.4153922790829449,0.42451154529307283,0.42451154529307283,0.42451154529307283,0.42451154529307283,0.42451154529307283,5067,2151
microsoft/graphcodebert-base,4,variant_1_full_processed.csv,0.5730270764329662,0.5808997632202052,0.5808997632202052,0.5808997632202052,0.5808997632202052,0.5808997632202052,5068,2944
microsoft/graphcodebert-base,4,variant_4_full_processed.csv,0.5692649228581271,0.5777426992896606,0.5777426992896606,0.5777426992896606,0.5777426992896606,0.5777426992896606,5068,2928
microsoft/graphcodebert-base,4,variant_5_full_processed.csv,0.47942605661659676,0.48046566692975534,0.48046566692975534,0.48046566692975534,0.48046566692975534,0.48046566692975534,5068,2435
microsoft/graphcodebert-base,4,variant_6_full_processed.csv,0.5167932767869212,0.5146014206787688,0.5146014206787688,0.5146014206787688,0.5146014206787688,0.5146014206787688,5068,2608
