Model,SimCSE,m,AUROC,Accuracy,TotalPairs,CorrectPairs
CodeT5-BASE,No,2,0.3209,0.2737,5068,1387
CodeT5-BASE,No,4,0.3597,0.3191,5068,1617
CodeT5-BASE,No,8,0.4069,0.3952,5068,2003
CodeT5-SimCSE,Yes,2,0.4724,0.4728,5068,2396
CodeT5-SimCSE,Yes,4,0.5376,0.5444,5068,2759
CodeT5-SimCSE,Yes,8,0.6035,0.6154,5068,3119
GraphCodeBERT-BASE,No,2,0.5130,0.5231,5068,2651
GraphCodeBERT-BASE,No,4,0.5359,0.5395,5068,2734
GraphCodeBERT-BASE,No,8,0.5613,0.5612,5068,2844
GraphCodeBERT-SimCSE,Yes,2,0.5033,0.5124,5068,2597
GraphCodeBERT-SimCSE,Yes,4,0.5635,0.5876,5068,2978
GraphCodeBERT-SimCSE,Yes,8,0.6320,0.6480,5068,3284
